Fedwire Funds Services - Monthly Statistics
                                                                                                                               Average                     Average
                                  Monthly           Value of           Monthly           Average                                daily                       daily
                   Transfers        volume           transfers           value          value per                             volume of                    value of
                   originated       growth          originated           growth          transfer        Number of            transfers¹                  transfers¹
Month               (number)      (percent)        ($ millions)        (percent)       ($ millions)         days               (number)                   ($ millions)
2020:January       14,345,546       (5.7)           63,291,899            0.9              4.41              21                 683,121                    3,013,900
2019:December      15,207,708       13.9            62,734,892           14.1              4.13              21                 724,177                    2,987,376
2019:November      13,348,645       (11.4)          54,978,806           (10.4)            4.12              19                 702,560                    2,893,621
2019:October       15,068,973        7.8            61,362,705            6.6              4.07              22                 684,953                    2,789,214
2019:September     13,984,015       (3.4)           57,589,039           (4.1)             4.12              20                 699,201                    2,879,452
2019:August        14,469,354       (1.9)           60,061,069            1.1              4.15              22                 657,698                    2,730,049
2019:July          14,742,749        8.1            59,386,891            7.6              4.03              22                 670,125                    2,699,404
2019:June          13,634,760       (5.8)           55,189,984           (4.6)             4.05              20                 681,738                    2,759,499
2019:May           14,476,696        2.5            57,849,839            2.0              4.00              22                 658,032                    2,629,538
2019:April         14,119,273        3.7            56,716,744           (2.3)             4.02              22                 641,785                    2,578,034
2019:March         13,616,074       14.3            58,062,448           10.3              4.26              21                 648,384                    2,764,878
2019:February      11,907,414       (8.9)           52,658,136           (11.1)            4.42              19                 626,706                    2,771,481
2019:January       13,074,401       (2.1)           59,244,574            3.9              4.53              21                 622,591                    2,821,170
2018:December      13,355,824        3.8            57,034,169            3.5              4.27              20                 667,791                    2,851,708
2018:November      12,870,511       (8.4)           55,131,847           (6.9)             4.28              20                 643,526                    2,756,592
2018:October       14,043,556       14.0            59,247,154           12.1              4.22              22                 638,343                    2,693,052
2018:September     12,317,469       (12.6)          52,861,872           (12.1)            4.29              19                 648,288                    2,782,204
2018:August        14,090,860        5.2            60,166,300            2.2              4.27              23                 612,646                    2,615,926
2018:July          13,394,457       (1.8)           58,876,381           (5.2)             4.40              21                 637,831                    2,803,637
2018:June          13,643,056       (0.2)           62,137,543            0.3              4.55              21                 649,669                    2,958,931
2018:May           13,670,014        4.7            61,928,405            5.6              4.53              22                 621,364                    2,814,928
2018:April         13,062,268       (3.0)           58,627,842           (9.0)             4.49              21                 622,013                    2,791,802
2018:March         13,461,762       16.1            64,399,406            8.2              4.78              22                 611,898                    2,927,246
2018:February      11,595,345       (10.3)          59,520,355           (10.2)            5.13              19                 610,281                    3,132,650
2018:January       12,925,620       (3.4)           66,280,485            2.3              5.13              21                 615,506                    3,156,214
2017:December      13,385,309        5.5            64,787,368            1.3              4.84              20                 669,265                    3,239,368
2017:November      12,688,217       (3.1)           63,934,825           (0.8)             5.04              21                 604,201                    3,044,515
2017:October       13,097,457        3.7            64,448,733            4.0              4.92              21                 623,688                    3,068,987
2017:September     12,624,433       (6.4)           61,947,595           (8.0)             4.91              20                 631,222                    3,097,380
2017:August        13,483,504        8.7            67,302,666           14.5              4.99              23                 586,239                    2,926,203
2017:July          12,405,940       (9.4)           58,786,032           (9.1)             4.74              20                 620,297                    2,939,302
2017:June          13,700,270        4.4            64,644,777            2.7              4.72              22                 622,740                    2,938,399
2017:May           13,127,845       11.3            62,916,653           12.4              4.79              22                 596,720                    2,859,848
2017:April         11,790,407       (12.8)          55,951,220           (15.3)            4.75              20                 589,520                    2,797,561
2017:March         13,515,914       22.8            66,024,621           24.2              4.88              23                 587,648                    2,870,636
2017:February      11,004,755       (6.9)           53,156,133           (5.4)             4.83              19                 579,198                    2,797,691
2017:January       11,825,582       (11.3)          56,196,215           (5.6)             4.75              20                 591,279                    2,809,811
2016:December      13,327,252        9.9            59,507,015            5.7              4.47              21                 634,631                    2,833,667
2016:November      12,124,801       (0.4)           56,312,051           (0.9)             4.64              20                 606,240                    2,815,603
2016:October       12,167,919       (5.2)           56,795,004           (14.5)            4.67              20                 608,396                    2,839,750
2016:September     12,833,290       (2.6)           66,404,727           (5.9)             5.17              21                 611,109                    3,162,130
2016:August        13,181,086        9.6            70,593,876           12.1              5.36              23                 573,091                    3,069,299
2016:July          12,025,430       (9.4)           62,959,043           (8.7)             5.24              20                 601,272                    3,147,952
2016:June          13,272,529        9.0            68,995,175            5.8              5.20              22                 603,297                    3,136,144
2016:May           12,178,735       (0.9)           65,230,950            1.6              5.36              21                 579,940                    3,106,236
2016:April         12,291,063       (4.0)           64,172,403           (9.3)             5.22              21                 585,289                    3,055,829
2016:March         12,799,876       15.6            70,752,201           11.6              5.53              23                 556,516                    3,076,183
2016:February      11,073,125        1.9            63,412,128            2.6              5.73              20                 553,656                    3,170,606
2016:January       10,867,296       (16.7)          61,826,964           (13.8)            5.69              19                 571,963                    3,254,051
2015:December      13,051,874       20.2            71,686,439           13.8              5.49              22                 593,267                    3,258,475
2015:November      10,857,261       (10.5)          62,990,205           (10.8)            5.80              19                 571,435                    3,315,274
2015:October       12,133,859       (0.4)           70,595,555           (2.1)             5.82              21                 577,803                    3,361,693
2015:September     12,185,489        4.2            72,097,976            6.5              5.92              21                 580,261                    3,433,237
2015:August        11,695,426       (8.3)           67,672,603           (7.0)             5.79              21                 556,925                    3,222,505
2015:July          12,757,707       (0.8)           72,744,218           (0.7)             5.70              23                 554,683                    3,162,792
2015:June          12,863,713       11.6            73,252,619           10.1              5.69              22                 584,714                    3,329,665
2015:May           11,529,611       (5.3)           66,550,285           (4.8)             5.77              20                 576,481                    3,327,514
2015:April         12,180,840       (1.6)           69,911,687           (6.3)             5.74              22                 553,675                    3,177,804
2015:March         12,381,162       19.8            74,627,933           17.5              6.03              22                 562,780                    3,392,179
2015:February      10,336,576       (4.1)           63,490,201           (8.0)             6.14              19                 544,030                    3,341,590
2015:January       10,783,583       (14.2)          69,010,719           (5.5)             6.40              20                 539,179                    3,450,536
2014:December      12,565,991       24.5            72,994,640           14.7              5.81              22                 571,181                    3,317,938
2014:November      10,091,430       (16.3)          63,656,621           (20.7)            6.31              18                 560,635                    3,536,479
2014:October       12,061,850        3.4            80,321,016            2.6              6.66              22                 548,266                    3,650,955
2014:September     11,668,122        5.1            78,283,737            4.2              6.71              21                 555,625                    3,727,797
2014:August        11,106,806       (6.3)           75,103,546           (4.5)             6.76              21                 528,896                    3,576,359
2014:July          11,852,520        3.2            78,667,229            5.1              6.64              22                 538,751                    3,575,783
2014:June          11,487,867        2.6            74,819,603           (3.3)             6.51              21                 547,041                    3,562,838
2014:May           11,201,675       (1.0)           77,384,448            5.0              6.91              21                 533,413                    3,684,974
2014:April         11,320,070        2.6            73,707,612            0.7              6.51              22                 514,549                    3,350,346
2014:March         11,035,488       12.4            73,222,892           10.5              6.64              21                 525,499                    3,486,804
2014:Feb            9,813,870       (9.3)           66,242,522           (5.6)             6.75              19                 516,519                    3,486,449
2014:Jan           10,817,060       (6.1)           70,148,010            5.0              6.48              21                 515,098                    3,340,381
2013:Dec           11,525,749       13.1            66,793,918           15.8              5.80              21                 548,845                    3,180,663
2013:Nov           10,193,693       (11.6)          57,682,289           (11.7)            5.66              19                 536,510                    3,035,910
2013:Oct           11,524,864        6.5            65,303,710            9.7              5.67              22                 523,857                    2,968,350
2013:Sep           10,818,348       (5.3)           59,518,282           (2.4)             5.50              20                 540,917                    2,975,914
2013:August        11,421,812       (3.8)           61,000,092           (1.2)             5.34              22                 519,173                    2,772,731
2013:July          11,867,204        7.2            61,767,579            7.3              5.20              22                 539,418                    2,807,617
2013:June          11,068,267       (6.0)           57,563,259           (6.9)             5.20              20                 553,413                    2,878,163
2013:May           11,768,554        0.6            61,806,865            4.7              5.25              22                 534,934                    2,809,403
2013:Apr           11,692,690        4.9            59,024,146            5.2              5.05              22                 531,486                    2,682,916
2013:Mar           11,144,275       10.6            56,089,960            8.4              5.03              21                 530,680                    2,670,950
2013:Feb           10,077,464       (9.5)           51,741,797           (6.0)             5.13              19                 530,393                    2,723,252
2013:Jan           11,141,257       (2.8)           55,018,457           10.5              4.94              21                 530,536                    2,619,927
2012:Dec           11,458,064        6.1            49,790,745            2.3              4.35              20                 572,903                    2,489,537
2012:Nov           10,801,508       (6.5)           48,691,661           (6.6)             4.51              20                 540,075                    2,434,583
2012:Oct           11,553,746       12.0            52,138,530           14.4              4.51              22                 525,170                    2,369,933
2012:Sep           10,316,687       (11.5)          45,563,949           (14.6)            4.42              19                 542,984                    2,398,103
2012:Aug           11,661,696        4.0            53,330,257            3.5              4.57              23                 507,030                    2,318,707
2012:Jul           11,209,427        1.8            51,541,160            0.5              4.60              21                 533,782                    2,454,341
2012:Jun           11,006,829       (1.4)           51,276,584           (4.3)             4.66              21                 524,135                    2,441,742
2012:May           11,164,471        5.5            53,585,467           13.4              4.80              22                 507,476                    2,435,703
2012:Apr           10,583,730       (5.9)           47,233,800           (5.3)             4.46              21                 503,987                    2,249,229
2012:Mar           11,250,512        9.8            49,893,638            6.0              4.43              22                 511,387                    2,267,893
2012:Feb           10,249,417       (1.3)           47,087,906           (4.0)             4.59              20                 512,471                    2,354,395
2012:Jan           10,381,262       (9.4)           49,066,928           (5.2)             4.73              20                 519,063                    2,453,346
2011:Dec           11,460,809        8.6            51,779,402            2.8              4.52              21                 545,753                    2,465,686
2011:Nov           10,557,167       (0.1)           50,365,848           (1.6)             4.77              20                 527,858                    2,518,292
2011:Oct           10,567,564       (3.5)           51,173,546           (7.9)             4.84              20                 528,378                    2,558,677
2011:Sep           10,952,651       (2.6)           55,554,583           (12.8)            5.07              21                 521,555                    2,645,456
2011:Aug           11,245,467       10.4            63,701,531           16.5              5.66              23                 488,933                    2,769,632
2011:Jul           10,190,574       (7.4)           54,678,962           (8.0)             5.37              20                 509,529                    2,733,948
2011:Jun           11,002,351        7.0            59,411,377            1.7              5.40              22                 500,107                    2,700,517
2011:May           10,281,556        0.9            58,417,196            2.3              5.68              21                 489,598                    2,781,771
2011:Apr           10,185,944       (9.1)           57,094,966           (7.7)             5.61              21                 485,045                    2,718,808
2011:Mar           11,199,810       19.9            61,881,967           26.1              5.53              23                 486,948                    2,690,520
2011:Feb            9,339,796       (7.0)           49,089,436           (3.2)             5.26              19                 491,568                    2,583,655
2011:Jan           10,038,731       (14.8)          50,688,761           (8.9)             5.05              20                 501,937                    2,534,438
2010:Dec           11,782,872       11.9            55,638,726           11.7              4.72              23                 512,299                    2,419,075
2010:Nov           10,530,284        0.5            49,822,401            0.3              4.73              20                 526,514                    2,491,120
2010:Oct           10,482,993       (2.2)           49,649,243           (0.9)             4.74              20                 524,150                    2,482,462
2010:Sep           10,715,032        1.7            50,100,933           (4.6)             4.68              21                 510,240                    2,385,759
2010:Aug           10,534,472        1.8            52,496,583            1.7              4.98              22                 478,840                    2,386,208
2010:Jul           10,346,372       (5.9)           51,597,511           (2.9)             4.99              21                 492,684                    2,457,024
2010:Jun           10,994,005       13.4            53,148,005            8.5              4.83              22                 499,728                    2,415,818
2010:May            9,697,344       (8.3)           49,003,059           (2.0)             5.05              20                 484,867                    2,450,153
2010:Apr           10,569,597       (4.6)           49,982,179           (6.9)             4.73              22                 480,436                    2,271,917
2010:Mar           11,079,344       22.8            53,666,373           15.5              4.84              23                 481,711                    2,333,321
2010:Feb            9,020,912       (3.8)           46,475,043           (0.6)             5.15              19                 474,785                    2,446,055
2010:Jan            9,377,334       (16.1)          46,745,795           (9.3)             4.98              19                 493,544                    2,460,305
2009:Dec           11,172,727       16.1            51,549,000           11.0              4.61              22                 507,851                    2,343,136
2009:Nov            9,625,240       (7.7)           46,427,892           (9.8)             4.82              19                 506,592                    2,443,573
2009:Oct           10,432,999        0.9            51,483,380           (1.3)             4.93              21                 496,809                    2,451,590
2009:Sep           10,337,098        3.7            52,145,008            4.0              5.04              21                 492,243                    2,483,096
2009:Aug            9,965,470       (9.1)           50,149,522           (7.5)             5.03              21                 474,546                    2,388,072
2009:Jul           10,960,266       (1.4)           54,217,338           (0.2)             4.95              23                 476,533                    2,357,276
2009:Jun           11,115,242       10.1            54,308,713            6.0              4.89              22                 505,238                    2,468,578
2009:May           10,097,379       (5.4)           51,250,195           (5.3)             5.08              20                 504,869                    2,562,510
2009:Apr           10,669,464       (2.7)           54,107,230           (5.6)             5.07              22                 484,976                    2,459,420
2009:Mar           10,961,088       15.1            57,307,265           11.4              5.23              22                 498,231                    2,604,876
2009:Feb            9,523,408       (3.5)           51,459,124           (9.3)             5.40              19                 501,232                    2,708,375
2009:Jan            9,870,863       (10.9)          56,722,441           (11.1)            5.75              20                 493,543                    2,836,122
2008:Dec           11,077,442       22.2            63,809,132           18.3              5.76              22                 503,520                    2,900,415
2008:Nov            9,062,718       (21.0)          53,927,691           (21.0)            5.95              18                 503,484                    2,995,983
2008:Oct           11,475,563        2.6            68,276,379           (1.1)             5.95              22                 521,617                    3,103,472
2008:Sept          11,188,323        5.9            69,026,068           19.0              6.17              21                 532,777                    3,286,956
2008:Aug           10,562,420       (7.9)           57,981,743           (7.4)             5.49              21                 502,972                    2,761,035
2008:July          11,472,690        2.9            62,621,687            2.8              5.46              22                 521,486                    2,846,440
2008:June          11,149,240        1.6            60,931,386           (2.3)             5.47              21                 530,916                    2,901,495
2008:May           10,969,280       (6.0)           62,336,442           (6.4)             5.68              21                 522,347                    2,968,402
2008:Apr           11,671,420        5.0            66,567,117           (0.3)             5.70              22                 530,519                    3,025,778
2008:Mar           11,115,870        5.4            66,761,181           11.2              6.01              21                 529,327                    3,179,104
2008:Feb           10,544,601       (4.8)           60,023,812           (4.3)             5.69              20                 527,230                    3,001,191
2008:Jan           11,072,540        0.4            62,711,995            4.2              5.66              21                 527,264                    2,986,285
2007:Dec           11,027,340        2.2            60,169,406            0.4              5.46              20                 551,367                    3,008,470
2007:Nov           10,786,684       (7.4)           59,938,347           (2.8)             5.56              20                 539,334                    2,996,917
2007:Oct           11,648,128       13.5            61,685,799           12.5              5.30              22                 529,460                    2,803,900
2007:Sept          10,262,713       (13.9)          54,844,400           (17.0)            5.34              19                 540,143                    2,886,547
2007:Aug           11,917,817        3.9            66,062,200           20.7              5.54              23                 518,166                    2,872,270
2007:July          11,469,199       (1.0)           54,716,357            1.5              4.77              21                 546,152                    2,605,541
2007:June          11,590,619       (0.9)           53,922,837           (3.4)             4.65              21                 551,934                    2,567,754
2007:May           11,699,191        5.0            55,805,106            6.5              4.77              22                 531,781                    2,536,596
2007:Apr           11,143,164       (5.6)           52,404,689           (4.8)             4.70              21                 530,627                    2,495,461
2007:Mar           11,800,296       17.0            55,059,591           20.1              4.67              22                 536,377                    2,502,709
2007:Feb           10,088,757       (10.4)          45,852,018           (8.7)             4.54              19                 530,987                    2,413,264
2007:Jan           11,254,473       (1.8)           50,204,819            0.2              4.46              21                 535,927                    2,390,706

NOTE: Funds transfer data exclude non value transfers.
¹ Based on the number of business days per period.
